ticker,name_x,search_query
BWNG,BROADWING CORPORATION,broadwing
CNXT,CONEXANT SYSTEMS INC.,conexant systems
NOVS,NOVASTAR FINANCIAL INC.,novastar financial
QSFT,QUEST SOFTWARE INC.,quest software
MLS.2,THE MILLS CORPORATION,the mills
DJO,DJO,djo
VMI,VALMONT INDS INC,valmont inds
ERPLQ,ENERGY PARTNERS,energy partners
NPBC,NATIONAL PENN BANCSHARES INC.,national penn bancshares
FFEDQ,FIRSTFED FINANCIAL CORP,firstfed financial
SHFL,SHUFFLE MASTER INC.,shuffle master
GGC,GEORGIA GULF CORP,georgia gulf
ATHR,ATHEROS COMMUNICATIONS INC.,atheros communications
VTIV,INVENTIV HEALTH INC.,inventiv health
RSTI,ROFIN-SINAR TECHNOLOGIES INC.,rofin sinar technologies
GHCI,GENESIS HEALTHCARE,genesis healthcare
COCOQ,CORINTHIAN COLLEGES UNDEFINED INC,corinthian colleges undefined
TELK,TELIK INC.,telik
HARB,HARBOR FLORIDA BANCSHARES INC.,harbor florida bancshares
SBIB,STERLING BANCSHARES,sterling bancshares
PFCB,P.F. CHANGS CHINA BISTRO INC.,changs china bistro
FMNTQ,FREMONT GENERAL CORP.,fremont general
BYI,BALLY TECHNOLOGIES INC.,bally technologies
KVPHQ,KV PHARMACEUTICAL INC CLASS A,kv pharmaceutical
EQY,EQUITY ONE INC.,equity one
SVVS,SAVVIS INC,savvis
KOSP,KOS PHARMACEUTICALS INC.,kos pharmaceuticals
WRC,WARNACO GROUP INC.,warnaco group
GRT,GLIMCHER REALTY TRUST REIT,glimcher realty reit
PFFBQ,PFF BANCORP INC,pff bancorp
MRD,MACDERMID INCORPORATED,macdermid
LWSN,INFOR (US) INC.,infor us
AAI,AIRTRAN HOLDINGS INC,airtran holdings
IPCS,IPCS INC,ipcs
AD,ADVO INC.,advo
CTCO,COMMONWEALTH TELEPHONE ENTERPRISES,commonwealth telephone enterprises
VAS,VIASYS HEALTHCARE INC,viasys healthcare
THI,TIM HORTONS INC,tim hortons
RBAK,REDBACK NETWORKS INC.,redback networks
CORSQ,CORUS BANKSHARES INC,corus bankshares
DTAS.,DIGITAS INC.,digitas
ROSE,ROSETTA RESOURCES INC.,rosetta resources
ENN,EQUITY INNS,equity inns
GSL.1,GLOBAL SIGNAL INC.,global signal
FBN,FURNITURE BRANDS INTERNATIONAL INC,furniture brands international
SEH,SPARTECH CORP.,spartech
LCAV,LCA VISION INC,lca vision
HIH.1,HIGHLAND HOSPITALITY,highland hospitality
NCI,NAVIGANT CONSULTING INC,navigant consulting
PWAV,POWERWAVE TECHNOLOGIES INC.,powerwave technologies
NCOG,NCO GROUP INC.,nco group
